date|time|description|vendor|amount
2025-04-12|16:27:18|Consulting Services|Freelancer|1450.00
2025-04-15|08:21:09|Lunch Meeting|Panera|879.10
2025-04-18|12:45:59|Software License|Adobe|1087.90
2025-04-21|13:33:42|Hardware Purchase|Dell|1623.44
2025-04-25|10:56:31|Invoice Payment|Microsoft|2300.00
2025-04-28|17:14:07|Maintenance Fee|IT Services Inc|759.88
2024-01-04|14:22:11|Subscription Renewal|Salesforce|899.99
2024-01-18|09:17:26|Coffee|Panera|12.34
2024-02-07|10:05:47|Software License|Adobe|645.00
2024-02-20|13:31:54|Lunch Meeting|Starbucks|487.92
2024-03-05|16:41:20|Office Supplies|Amazon|1100.29
2024-03-22|11:26:44|Consulting Services|Freelancer|2048.00
2024-04-10|15:22:13|Travel Reimbursement|Panera|1365.33
2024-05-03|09:02:49|Hardware Purchase|Dell|1899.45
2024-05-19|12:14:39|Lunch Meeting|Salesforce|1265.80
2024-06-11|08:47:28|Subscription Renewal|Adobe|750.00
2024-06-28|14:55:05|Coffee|Starbucks|18.65
2024-07-14|13:42:11|Maintenance Fee|Freelancer|920.12
2024-08-06|10:11:59|Office Supplies|Amazon|675.33
2024-09-03|15:26:44|Software License|Dell|1050.75

2025-05-06|18:16:45|invoive|YearUp|100.00
2025-05-06|18:16:58|food|chipotle|-13.44
