date|time|description|vendor|amount
2024-04-01|08:15|Coffee purchase|Starbucks|-5.75
2024-04-01|12:30|Lunch|Chipotle|-12.50
2024-04-02|09:45|Gasoline refill|Shell|-35.20
2024-04-02|15:10|Office supplies|Staples|-23.99
2024-04-03|19:00|Dinner|Olive Garden|-45.00
2024-04-04|07:45|Breakfast|McDonald's|-8.15
2024-04-04|14:20|Software subscription|Adobe|-29.99
2024-04-05|17:30|Groceries|Walmart|-102.35
2024-04-06|10:00|Haircut|Supercuts|-22.00
2024-04-06|18:00|Movie night|AMC Theaters|-18.50
2024-04-07|11:45|Brunch|IHOP|-27.60
2024-04-08|09:00|Parking|City Parking Garage|-10.00
2024-04-08|13:30|Book purchase|Barnes & Noble|-16.45
2024-04-09|16:45|Pet food|PetSmart|-49.99
2024-04-10|08:00|Car wash|Speedy Wash|-15.00
2024-04-10|20:15|Streaming service|Netflix|-13.99
2024-04-11|10:30|Pharmacy|CVS|-12.75
2024-04-11|19:30|Dinner|Applebee's|-32.20
2024-04-12|12:00|Fast food|Burger King|-9.40
2024-04-12|16:00|Donation|Red Cross|-50.00
